id_ur,nombrel,nombrec,abrv
1, DELEGACION ESTATAL EN AGUASCALIENTES, AGUASCALIENTES, AGS
2, DELEGACION ESTATAL EN BAJA CALIFORNIA, BAJA CALIFORNIA, BC
3, DELEGACION ESTATAL EN BAJA CALIFORNIA SUR, BAJA CALIFORNIA SUR, BCS
4, DELEGACION ESTATAL EN CAMPECHE, CAMPECHE, CAMP
5, DELEGACION ESTATAL EN COAHUILA, COAHUILA, COAH
6, DELEGACION ESTATAL EN COLIMA, COLIMA, COL
7, DELEGACION ESTATAL EN CHIAPAS, CHIAPAS, CHIS
8, DELEGACION ESTATAL EN CHIHUAHUA, CHIHUAHUA, CHIH
10, DELEGACION ESTATAL EN DURANGO, DURANGO, DGO
11, DELEGACION ESTATAL EN GUANAJUATO, GUANAJUATO, GTO
12, DELEGACION ESTATAL EN GUERRERO, GUERRERO, GRO
13, DELEGACION ESTATAL EN HIDALGO, HIDALGO, HGO
14, DELEGACION ESTATAL EN JALISCO, JALISCO, JAL
15, DELEGACION ESTATAL EN EL ESTADO DE MÉXICO, MÉXICO, MEX
16, DELEGACION ESTATAL EN MICHOACÁN, MICHOACÁN, MICH
17, DELEGACION ESTATAL EN MORELOS, MORELOS, MOR
18, DELEGACION ESTATAL EN NAYARIT, NAYARIT, NAY
19, DELEGACION ESTATAL EN NUEVO LEÓN, NUEVO LEÓN, NL
20, DELEGACION ESTATAL EN OAXACA, OAXACA, OAX
21, DELEGACION ESTATAL EN PUEBLA, PUEBLA, PUE
22, DELEGACION ESTATAL EN QUERÉTARO, QUERÉTARO, QRO
23, DELEGACION ESTATAL EN QUINTANA ROO, QUINTANA ROO, QR
24, DELEGACION ESTATAL EN SAN LUIS POTOSÍ, SAN LUIS POTOSÍ, SLP
25, DELEGACION ESTATAL EN SINALOA, SINALOA, SIN
26, DELEGACION ESTATAL EN SONORA, SONORA, SON
27, DELEGACION ESTATAL EN TABASCO, TABASCO, TAB
28, DELEGACION ESTATAL EN TAMAULIPAS, TAMAULIPAS, TAMS
29, DELEGACION ESTATAL EN TLAXCALA, TLAXCALA, TLAX
30, DELEGACION ESTATAL EN VERACRUZ, VERACRUZ, VER
31, DELEGACION ESTATAL EN YUCATÁN, YUCATÁN, YUC
32, DELEGACION ESTATAL EN ZACATECAS, ZACATECAS, ZAC
91, DELEGACION REGIONAL NORTE CIUDAD DE MÉXICO, ZONA NORTE, DF NTE
92, DELEGACION REGIONAL ORIENTE CIUDAD DE MÉXICO, ZONA ORIENTE, DF OTE
93, DELEGACION REGIONAL SUR CIUDAD DE MÉXICO, ZONA SUR, DF SUR
94, DELEGACION REGIONAL PONIENTE CIUDAD DE MÉXICO, ZONA PONIENTE, DF PTE
